Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Hematoxylin OD mean	Nucleus: Hematoxylin OD sum	Nucleus: Hematoxylin OD std dev	Nucleus: Hematoxylin OD max	Nucleus: Hematoxylin OD min	Nucleus: Hematoxylin OD range	Nucleus: Eosin OD mean	Nucleus: Eosin OD sum	Nucleus: Eosin OD std dev	Nucleus: Eosin OD max	Nucleus: Eosin OD min	Nucleus: Eosin OD range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Hematoxylin OD mean	Cell: Hematoxylin OD std dev	Cell: Hematoxylin OD max	Cell: Hematoxylin OD min	Cell: Eosin OD mean	Cell: Eosin OD std dev	Cell: Eosin OD max	Cell: Eosin OD min	Cytoplasm: Hematoxylin OD mean	Cytoplasm: Hematoxylin OD std dev	Cytoplasm: Hematoxylin OD max	Cytoplasm: Hematoxylin OD min	Cytoplasm: Eosin OD mean	Cytoplasm: Eosin OD std dev	Cytoplasm: Eosin OD max	Cytoplasm: Eosin OD min	Nucleus/Cell area ratio
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1662.5	1160.8	17.37	16.5151	0.8003	5.6799	4.4181	0.6077	0.655	129.6833	0.3426	1.3631	0.1176	1.2455	0.0505	9.9913	0.1388	0.2787	-0.2816	0.5603	90.09	34.7067	0.9399	11.7548	10.366	0.4245	0.1622	0.3014	1.3631	-0.1073	0.1179	0.122	0.3573	-0.2816	0.041	0.0997	0.5906	-0.1073	0.1345	0.1115	0.3573	-0.1951	0.1938
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1681.2	1167	38.25	26.9616	0.6612	9.878	5.5849	0.8265	0.7191	308.5061	0.1432	1.053	0.3462	0.7068	0.0515	22.105	0.0557	0.2156	-0.0999	0.3155	73.71	37.7788	0.649	15.2029	7.1	0.8687	0.4775	0.297	1.053	-0.0882	0.1054	0.0844	0.2877	-0.0999	0.2136	0.1694	0.6491	-0.0882	0.1643	0.0699	0.2877	-0.0789	0.5195
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1650.5	1169.3	10.89	12.9956	0.8103	4.7772	3.3952	0.7373	0.348	43.4966	0.1765	0.7286	0.0439	0.6847	0.001	0.1248	0.1109	0.2448	-0.2449	0.4897	57.69	28.2417	0.9089	10.3864	7.7447	0.677	0.1058	0.1646	0.7286	-0.0962	0.0598	0.1065	0.2778	-0.2449	0.048	0.094	0.4452	-0.0962	0.0739	0.1006	0.2778	-0.1645	0.187
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1659.5	1168.7	14.94	14.9006	0.8456	5.5656	3.2846	0.8059	0.5112	86.3852	0.2002	0.8948	0.1483	0.7465	0.0428	7.2362	0.0799	0.1939	-0.1644	0.3583	62.19	29.8057	0.8797	10.7432	7.3184	0.7274	0.1621	0.2357	0.8948	-0.0926	0.0809	0.0914	0.3118	-0.1644	0.0498	0.0932	0.4727	-0.0926	0.0932	0.0915	0.3118	-0.0691	0.2403
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1640.7	1171.4	13.68	13.639	0.9241	4.7914	3.708	0.601	0.1589	24.3042	0.135	0.4367	-0.1098	0.5466	0.1871	28.6311	0.0902	0.3494	-0.0276	0.377	78.66	31.8593	0.9738	10.5973	9.3	0.4373	0.0053	0.1058	0.4367	-0.1302	0.1567	0.1394	0.3962	-0.0746	-0.0271	0.0608	0.2581	-0.1302	0.1503	0.147	0.3962	-0.0746	0.1697
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1507.5	1172.5	34.29	23.099	0.8076	8.5722	5.3333	0.792	0.5805	223.5016	0.1423	0.8559	0.2869	0.5691	0.1261	48.5413	0.0423	0.2383	0.012	0.2264	91.8	36.9511	0.8449	12.9115	9.687	0.6011	0.3108	0.2555	0.8559	-0.0686	0.1603	0.0563	0.2936	-0.0512	0.1483	0.1487	0.6339	-0.0686	0.1809	0.0536	0.2936	-0.0512	0.3717
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1483.9	1173.4	18.54	18.1459	0.7076	7.3671	3.4935	0.902	0.2184	46.2914	0.085	0.4441	0.0364	0.4076	0.0708	15.0056	0.0789	0.2057	-0.1295	0.3352	96.39	36.1329	0.9278	13.0286	9	0.7134	0.0701	0.0926	0.4441	-0.0781	0.0929	0.1128	0.3455	-0.1295	0.0337	0.0465	0.2013	-0.0781	0.0983	0.1191	0.3455	-0.0594	0.1925
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1558.3	1173.9	23.13	17.853	0.9119	6.2546	5.0606	0.5478	0.4327	114.2364	0.1666	0.8263	0.1408	0.6855	0.0804	21.2332	0.0733	0.2324	-0.1066	0.339	97.83	35.6761	0.9659	12.0061	10.5	0.4619	0.1427	0.1907	0.8263	-0.073	0.0888	0.1025	0.3168	-0.1066	0.0501	0.0608	0.304	-0.073	0.0915	0.11	0.3168	-0.0882	0.2352
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1677.4	1175	15.57	17.1896	0.6622	6.8911	3.0377	0.9061	0.7517	132.2947	0.2336	1.1585	0.2494	0.9091	0.0092	1.6201	0.0768	0.2262	-0.1435	0.3697	49.32	28.5418	0.7608	9.7864	7.6503	0.5529	0.3164	0.3493	1.1585	-0.1073	0.109	0.1154	0.3307	-0.1435	0.1138	0.1552	0.5274	-0.1073	0.1554	0.0999	0.3307	-0.1001	0.31
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1516.8	1175.4	32.22	22.7723	0.7808	8.4413	5.4139	0.7894	0.5544	199.5896	0.1348	0.8198	0.2761	0.5436	0.1121	40.3606	0.039	0.2295	0.0267	0.2028	93.06	37.633	0.8257	13.6615	8.9282	0.7736	0.3052	0.2136	0.8198	-0.0078	0.161	0.0595	0.288	0.0267	0.1727	0.098	0.4849	-0.0078	0.1871	0.0516	0.288	0.0301	0.3454
